GUID,ACCN,TAXON_NAME,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,COLLECTOR_AGENT_1,COLLECTOR_AGENT_2,PART_LOT_COUNT_1,PART_DISPOSITION_1,Identification 1,Identification 2,Identification 3,Type status (not on Arctos),Reference (not on Arctos),Figured Specimens (not on Arctos)
CHAS:Inv:19584,[CHAS:Mamm]885,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,1896,1896-01-01,1896-12-31,"North America, United States, Illinois, Cook County","Lake Calumet, off Pullman","FROM SPECIMEN: Pullman, Calumet Lake; FROM ORIGINAL CATALOG BOOK: Pullman, Calumet Lake",unknown,,1,in collection,Lymnaea jugularis,,,,,"plate XX, figure 4"
CHAS:Inv:23009,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Will County",Romeo,FROM SPECIMEN: Romeo,unknown,,1,in collection,,,,,,"plate XIX, figure 10"
CHAS:Inv:23014,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Kalkaska County",Bear Lake,FROM SPECIMEN: Bear Lake,James H. Ferriss,,2,in collection,,,,,,"plate xx, figure 5"
CHAS:Inv:23924,[CHAS:Mamm]accession unknown,Lymnaea stagnalis,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Roscommon County",Houghton Lake,FROM SPECIMEN: Houghton Lake,unknown,,1,in collection,Lymnaea stagnalis perampla,,,cotype,"Publication: The Lymnaeidae of North and Middle America, recent and fossil, by Frank Collins Baker (Chicago Academy of Sciences, special publication no. 3), pg. 151","plate XX, Figures 7-9; plate XXII, Fig. 5"
CHAS:Inv:24676,[CHAS:Mamm]3339,Lymnaea stagnalis,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Keeweenaw County, Isle Royale National Park","Isle Royale, Rock Harbor","FROM SPECIMEN: Roca Harbor, Isle Royale",unknown,,2,in collection,,,,,,plate63 figure1
CHAS:Inv:23049,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Minnesota, Hennepin County","Minneapolis, Lake Harriett","FROM SPECIMEN: Lake Harriet, Minneapolis",L. E. Daniels,,2,in collection,,,,,,"plate XXI, figure 8,9"
CHAS:Inv:23015,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New York, Genessee County",Batavia,FROM SPECIMEN: Batavia,unknown,,1,in collection,,,,,,"plate XX, figure 6"
CHAS:Inv:23035,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New York, Monroe County","Lake Ontario, Braddock Bay","FROM SPECIMEN: Braddock's Bay, near Lake Ontario",Frank Collins Baker,,2,in collection,,,,,,"plate XIX, figure 4"
CHAS:Inv:23006,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appressa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New York","Lake Ontario, Round Bay","FROM SPECIMEN: Round Bay, Lake Ontario",Frank Collins Baker,,2,in collection,,,,,,"plate XIX, figure 5-6"
CHAS:Inv:24554.2,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis lilianae},Freshwater Pond Snail.,"[date determined from correspondence between Frank C. Baker and Bryant Walker in which Baker refers to collecting these specimens ""last year"" with the letter dated ""November 9, 1909."" See Chicago Academy archives for more.]",1908-01-01,1909-11-09,"North America, United States, Wisconsin, Oneida County",Tomahawk Lake,FROM SPECIMEN: Tomahawk Lake,Frank Collins Baker,,4,in collection,,,,"""Types"" ","Publication: The Lymnaeidae of North and Middle America, recent and fossil, by Frank Collins Baker (Chicago Academy of Sciences, special publication no. 3), pg 153; Publication: The Nautilus: Volume 23 (Feb. 1910), pg. 112","plate XXI, figure 10-12 (unknown). CHAS Published Figures: plate XXI figs. 8-12; plate XXII fig. 6"
CHAS:Inv:23023,[CHAS:Mamm]accession unknown,Lymnaea stagnalis,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,Lymnaea stagnalis jugularis,,,,,used for figureof genitalia
CHAS:Inv:23925,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis appresa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,,,,,,"plate XVIII, figure7"
CHAS:Inv:24554.1,[CHAS:Mamm]accession unknown,Lymnaea stagnalis {Lymnaea stagnalis lilianae},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,lectotype (designated by Dorothea Franzen),,
CHAS:Inv:23155,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea sterkii},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Ohio, Cuyahoga County",12 miles west of Cleveland,FROM SPECIMEN: 12 miles W. OF Cleveland,unknown,,4,in collection,Galba parva {Galba parva sterkii},,,syntype,,
CHAS:Inv:23156,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea sterkii},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Ohio, Cuyahoga County",near Cleveland,FROM SPECIMEN: near Cleveland,unknown,,1,in collection,,,,syntype,,plate 29 figure 15
CHAS:Inv:8375,[CHAS:Mamm]60,Lymnaea {Lymnaea sufflatus},Freshwater Pond Snail. Type of sufflatus Calkins.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County",Lake Calumet,FROM SPECIMEN: Calumet Lake; FROM ORIGINAL CATALOG BOOK: Lake Calumet,unknown,,1,in collection,Lymnaea palustris {Lymnaea palustris expansa},,,holotype,"Publication: Mollusca of the Chicago Area by Frank Collins Baker, Bulletin No. III of the Natural History Survey, pg. 277 [L. palustris expansa later proved to be L. palustris.]",
CHAS:Inv:23654,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea trionii},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, Canada, British Columbia, Vancouver Island",Vancouver,"FROM SPECIMEN: Vancouver, B.C.",Bryant Walker,,1,in collection,,,,,,"plate 39, figure 5"
CHAS:Inv:23656,[CHAS:Mamm]accession unknown,Walhiana vahlii,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Alaska, Nome Census Area County",St. Michael,FROM SPECIMEN: near St. Michaels,unknown,,8,in collection,Lymnaea vahlii,,,,,plate 39 figure 11-15
CHAS:Inv:23657,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea walkeri},Freshwater Pond Snail.,Aug 19 97,1897-08-19,1897-08-19,"North America, Canada, Yukon Territory",Marsh Lake,FROM SPECIMEN: Mud of Marsh Lake N.W.T.,unknown,,4,in collection,,,,,,"plate 39, figure 17-18"
CHAS:Inv:23568,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea walkeri},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, McHenry County",Algonquin,FROM SPECIMEN: Algonquin,unknown,,1,in collection,,,,,,"plate 47, figure 17 [crossed out]"
CHAS:Inv:23571.2,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea walkeri},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County",Wolf Lake,FROM SPECIMEN: Wolf Lake,unknown,,2,in collection,,,,,,"plate 36, 15-16"
CHAS:Inv:23570,[CHAS:Mamm]accession unknown,Lymnaea {Lymnaea walkeri},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County",Lake Calumet,FROM SPECIMEN: Calumet Lake,unknown,,1,in collection,,,,,,"plate 36, figure 13"
CHAS:Inv:23791,[CHAS:Mamm]accession unknown,Lymnaea woodruffi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County","Chicago, Lake Michigan, lake shore",FROM SPECIMEN: Lake shore,unknown,,2,in collection,,,,,,plate 426. 21 22
CHAS:Inv:3425.2,[CHAS:Mamm]1294,Lymnaea woodruffi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County","Chicago, Oak Street at Lake Michigan","FROM SPECIMEN: Oak St Lake Shore; FROM ORIGINAL CATALOG BOOK: Oak Street, Chicago, Lake M. [Michigan] [Illinois]",H. N. Lyon,,5,in collection,,,,syntype,,"plate 42, Figures 18-20"
CHAS:Inv:23789,[CHAS:Mamm]accession unknown,Lymnaea woodruffi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County","Chicago, Oak Street at Lake Michigan","FROM SPECIMEN: Oak St. [Beach, Lake Michigan]",unknown,,3,in collection,,,,syntype,,
CHAS:Inv:3425.1,[CHAS:Mamm]1294,Lymnaea woodruffi,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County","Chicago, Oak St at Lake Michigan","FROM ORIGINAL CATALOG BOOK: Oak Street, Chicago, Lake M. [Michigan] [Illinois]",H. N. Lyon,,1,in collection,,,,lectotype (designated by Dorothea Franzen),,
CHAS:Inv:23731,[CHAS:Mamm]accession unknown,Lymnaea sp.,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New York, Monroe County","Rochester, Genesee River, falls 1-2",FROM SPECIMEN: Falls 1-2 Roch,unknown,,3,in collection,,,,,,plate 40 figure 12-15
CHAS:Inv:23733,[CHAS:Mamm]accession unknown,Lymnaea sp.,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New York","Erie Canal, Wide Waters","FROM SPECIMEN: Erie Canal, W. Waters",unknown,,5,in collection,,,,,,"plate 40, figure 6-10"
CHAS:Inv:23993,[CHAS:Mamm]accession unknown,Lymnaea sp.,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States","Squaw Lake, inlet",FROM SPECIMEN: Squaw L. Inlet,unknown,,2,in collection,,,,,,"plate 42, figure 10-11"
CHAS:Inv:23697,[CHAS:Mamm]accession unknown,Lymnaea sp.,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,5,in collection,,,,,,Some specimens have glue on them. Label also has plate 63 f [illegible] but it has all been crossed out.
CHAS:Inv:21029,[CHAS:Mamm]2262,Lyogyrus pilsbryi,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Winnebago County",Rockford,"FROM SPECIMEN: Rockford; FROM ORIGINAL CATALOG BOOK: Rockford, Illinois",unknown,,38,in collection,Amnicolidae {Amnicola pilsbryi},,,topotype,,
CHAS:Inv:2017.13.1384,[CHAS:Mamm]2017.13,Manicina sp.,Invertebrate.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,"Figure. In the simple cup-shaped corals, the animal forms a cup or theca, the lamellae, which arise from the base, terminate in as many septa, the spaces between which are termed loculi (1). A central pillar or column is formed by the union of the septa, or arising independently, and is called the columnella (2), while the small separate pillars between the septa and the columella are termed loculi (3). Specime has labels 2 and 3 glued on, and there is a clear place where label 1 should be."
CHAS:Inv:9006,[CHAS:Mamm]10,Trochidae {Margarita cinerea},Ashy Pearl Shell.,[no date recorded],1800,2017-07-01,"North America, Greenland",no specific locality recorded,FROM SPECIMEN: Greenland; FROM ORIGINAL CATALOG BOOK: Greenland,unknown,,1,in collection,,,,,"Possibly referred to in Stimpson 1863: 141, collected on the Arctic Expedition of I.I. Hayes",
CHAS:Inv:20084,[CHAS:Mamm]1973,Melampus coffea {Melampus coffeus bishopii},Gastropod.,[no date recorded],1800,2017-07-01,"West Indies, United Kingdom, Bermuda, Bermuda",no specific locality recorded,FROM SPECIMEN: Bermuda; FROM ORIGINAL CATALOG BOOK: Bermuda,unknown,,4,in collection,,,,cotype,Publication: The Nautilus: Volume 17 (May 1903) pg. 127 ,"C.Abbot Davis (exchange) plate IV, Fig. 13"
CHAS:Inv:20081,[CHAS:Mamm]1973,Melampus coffea {Melampus coffeus alternatus},Gastropod.,[no date recorded],1800,2017-07-01,"West Indies, United Kingdom, Bermuda, Bermuda",no specific locality recorded,FROM SPECIMEN: Bermuda; FROM ORIGINAL CATALOG BOOK: Bermuda,unknown,,4,in collection,,,,cotype,Publication: The Nautilus: Volume 17 (May 1903) pg. 127 ,"C.Abbot Davis (exchange) plate IV, Fig. 11"
CHAS:Inv:20082,[CHAS:Mamm]1973,Melampus coffea {Melampus coffeus verticalis},Gastropod.,[no date recorded],1800,2017-07-01,"West Indies, United Kingdom, Bermuda, Bermuda",no specific locality recorded,FROM SPECIMEN: Bermuda; FROM ORIGINAL CATALOG BOOK: Bermuda,unknown,,4,in collection,,,,cotype,Publication: The Nautilus: Volume 17 (May 1903) pg. 127 ,"C.Abbot Davis (exchange) plate IV, Fig. 12"
CHAS:Inv:20086,[CHAS:Mamm]1973,Melampus flavus {Melampus flavus purpureus},Gastropod.,[no date recorded],1800,2017-07-01,"West Indies, United Kingdom, Bermuda, Bermuda",no specific locality recorded,FROM SPECIMEN: Bermuda; FROM ORIGINAL CATALOG BOOK: Bermuda,unknown,,4,in collection,,,,cotype,Publication: The Nautilus: Volume 17 (May 1903) pg. 126,"C.Abbot Davis (exchange) plate IV, Fig. 6"
CHAS:Inv:17711,[CHAS:Mamm]accession unknown,Meretrix {Meretrix maculata},Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE.Glue residue on one valve
CHAS:Inv:21995,[CHAS:Mamm]2749,Polygyra troostiana,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Alabama, Madison County",Huntsville,"FROM SPECIMEN: Near Huntsville; FROM ORIGINAL CATALOG BOOK: Near Huntsville, Alabama",Herbert Smith,,4,in collection,Millerelix troostiana,Polygyra troostiana,,cotype,"Transactions of the American Philosophical Society, Vol. 6 (New Series), 1839, 107-108","T.H. Aldrich (Exchange) plate XXIV, Fig. 119"
CHAS:Inv:17677,[CHAS:Mamm]accession unknown,Geukensia demissa,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Modiola plicatula,,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:20702,[CHAS:Mamm]281,Chicoreus capucinus,"Gastropod. On label ""type = var. longicaudum Baker / Murex.""",[no date recorded],1800,2017-07-01,"Australia, Australia",no specific locality recorded,FROM SPECIMEN: Australia?; FROM ORIGINAL CATALOG BOOK: Australia (?),unknown,,1,in collection,Murex bituberculatus,,,holotype,"Publication: Proceedings of the Rochester Academy of Science, Vol. 1 (1891), pg. 133","plate 11, Fig. 4"
CHAS:Inv:7409,[CHAS:Mamm]10,Bolinus brandaris,Spiny Rock Shell.,[no date recorded],1800,2017-07-01,"Europe, Italy, Campania Region",Naples,"FROM SPECIMEN: Naples; FROM ORIGINAL CATALOG BOOK: Naples, Italy",unknown,,3,in collection,Murex brandaris,,,,"Possibly referred to in Baker 1891: 57, in his collection of muricidae",
CHAS:Inv:20701,[CHAS:Mamm]281,Haustellum longicaudum,"Gastropod. On label ""type = var. longicaudum Baker / Murex.""",[no date recorded],1800,2017-07-01,"Indian Ocean, Red Sea",no specific locality recorded,FROM SPECIMEN: Red Sea; FROM ORIGINAL CATALOG BOOK: Red Sea,unknown,,1,in collection,Murex haustellum {Murex haustellum longicaudum},Murex haustellum longicaudus,,holotype,Publication: Proceedings of the Academy of Natural Science Philadelphia (1891) pg. 56,
CHAS:Inv:7402,[CHAS:Mamm]592,Vokesimurex rubidus,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Florida, Levy County, Cedar Keys",no specific locality recorded,"FROM SPECIMEN: Cedar keys; FROM ORIGINAL CATALOG BOOK: Cedar Keys, Florida",unknown,,3,in collection,Murex messorius rubidum,,,syntype,,
CHAS:Inv:17694,[CHAS:Mamm]accession unknown,Mya arenaria,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Specimen has glue on both valves. One valve has a label that says chondrophore on the chondrophore.
CHAS:Inv:17704,[CHAS:Mamm]accession unknown,Mya arenaria,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,"FIGURE. Specimen has glue residue on it. One valve has been cracked and repaired, and has numbers 1 and 3 glued to it. The other valve has numbers 2 and 3 glued to ti."
CHAS:Inv:17676,[CHAS:Mamm]accession unknown,Mytilus californianus,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Mytilus californicus,,,,,FIGURE. Specimen with glue resiude on specimen. Both valves have barnacles on them
CHAS:Inv:18348,[CHAS:Mamm]accession unknown,Nacella sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,,,,,,"FIGURE; Different parts of Shell. 1, apex; 2, ribs; 3 muscle scar; 4 mantle line; 5, scar of branchial cordon Shells have corresponding numbers glued on."
CHAS:Inv:18340.25,[CHAS:Mamm]accession unknown,Natica sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. See also 18340
CHAS:Inv:21110,[CHAS:Mamm]accession unknown,Nerita peloronta,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,2,in collection,Nassa papillosa,Nassarius papillosus,,,,FIGURE. Glue residue on both specimens. Both specimens have had part of the body whorl removed to expose the insides.
CHAS:Inv:18340.27,[CHAS:Mamm]accession unknown,Nerita sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. See also 18340
CHAS:Inv:20696,[CHAS:Mamm]281,Bedeva vinosa,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Ocinebra {Ocinebra jenksii},Ocenebra jenksii,,holotype,Publication: The Nautilus: Volume 3 (May 1889) pg. 80-81,
CHAS:Inv:20700,[CHAS:Mamm]281,Urosalpinx subangulata,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, California, San Luis Obispo County",Cayucos,"FROM SPECIMEN: Cayucas; FROM ORIGINAL CATALOG BOOK: Cayucos, San Luis Obisbo Co., Cal. [California]",unknown,,2,in collection,Ocenebra michaeli,,,paratype,,
CHAS:Inv:20699,[CHAS:Mamm]281,Oliva carneola,Gastropod.,[no date recorded],1800,2017-07-01,"Asia, Sri Lanka, Sri Lanka",no specific locality recorded,FROM SPECIMEN: Ceylon [sic]; FROM ORIGINAL CATALOG BOOK: Ceylon,unknown,,2,in collection,Ocinebra pilsbryana,Ergalatax contracta,,type (syntype),"Possibly referred to in Baker 1891: 57-58, in Baker's collection of Muricidae",
CHAS:Inv:20697,[CHAS:Mamm]281,Ocinebrina interfossa,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Ocenebra rubra,,,holotype,"Publication: Proceedings of the Rochester Academy of Science, Vol. 1 (1891), pg. 134-135","plate 11, Figs. 6,7"
CHAS:Inv:20698,[CHAS:Mamm]281,Ocinebrina aciculata,Gastropod.,[no date recorded],1800,2017-07-01,"Australia, Australia",no specific locality recorded,FROM SPECIMEN: Australia; FROM ORIGINAL CATALOG BOOK: Australia,unknown,,1,in collection,Ocenebra wardiana,,,holotype,"Publication: Proceedings of the Rochester Academy of Science, Vol. 1 (1891), pg. 134","plate 11, Fig. 5"
CHAS:Inv:20789,[CHAS:Mamm]1975,Oreohelix barbata,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Arizona, Cochise County","Chiricahua Mountains, Cave Creek Canyon","FROM SPECIMEN: Cave Creek Canyon, Chiracahua Mountains; FROM ORIGINAL CATALOG BOOK: Cave Creek Canyon, Chiracahua Mts. [Mountains], Arizona",James H. Ferriss,,3,in collection,,,,topotype,,
CHAS:Inv:20788,[CHAS:Mamm]1975,Radiocentrum chiricahuanum,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Arizona, Cochise County","Chiricahua Mountains, Cave Creek Canyon","FROM SPECIMEN: Cave Creek Canyon, Chiricahua Mountains; FROM ORIGINAL CATALOG BOOK: Cave Creek Canyon, Chiracahua Mts. [Mountains], Arizona",James H. Ferriss,,2,in collection,Oreohelix chiricahuana,,,topotype,,
CHAS:Inv:20787,[CHAS:Mamm]1975,Radiocentrum clappi,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Arizona, Cochise County","Chiricahua Mountains, Cave Creek Canyon","FROM SPECIMEN: Cave Creek Canyon, Chiricahua Mountains; FROM ORIGINAL CATALOG BOOK: Cave Creek Canyon, Chiracahua Mts. [Mountains], Arizona",James H. Ferriss,,3,in collection,Oreohelix clappi,,,topotype,,
CHAS:Inv:17673,[CHAS:Mamm]accession unknown,Dendostrea frons,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Ostrea frons,,,,,FIGURE. Glue resiude on both valves.
CHAS:Inv:25136,[CHAS:Mamm]2921,Pachychilus atratus ganinus,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Ganina River, 3 miles southwest of San Dieguito","FROM SPECIMEN: Ganina, 3 Miles S.W. of San Dieguito; FROM ORIGINAL CATALOG BOOK: Ganina 3 mil. S.W. of San Dieguito, Mex. [Mexico]",A. A. Hinkley,,46,in collection,,,,topotype,,
CHAS:Inv:25135,[CHAS:Mamm]2921,Pachychilus atratus suprastriatus,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Mecos, rapids 2 miles west","FROM SPECIMEN: Rapids 2 miles West Of Mezos [Sam Howes, 2017: Mezos is likely Mecos]; FROM ORIGINAL CATALOG BOOK: Rapids two miles west of Mexico, Mex. [Mexico]",A. A. Hinkley,,12,in collection,,,,topotype,,
CHAS:Inv:25132,[CHAS:Mamm]2921,Pachychilus atratus,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Tamasopo River, at natural bridge near Verastagui","FROM SPECIMEN: Tomosopo River, Near Veratagu, at natural bridge; FROM ORIGINAL CATALOG BOOK: Tamosopo River, near Verastagu, at Natural Bridge, Mexico",A. A. Hinkley,,24,in collection,Pachycheilus {Pachycheilus atratus},,,topotype,,
CHAS:Inv:25137,[CHAS:Mamm]2921,Pachycheilus humerosws,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Tamasopo River, above natural bridge near Verastagui","FROM SPECIMEN: Tamosopo River near Verastagu, above Natural Bridge; FROM ORIGINAL CATALOG BOOK: Tamosopo River, near Verastagu, above Natural Bridge, Mexico",A. A. Hinkley,,9,in collection,,,,topotype,,
CHAS:Inv:25128,[CHAS:Mamm]2921,Pachychilus moctezumensis,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Moctezuma River, ford south of Tampamolon","FROM SPECIMEN: Moctezuma River, at ford South of Tampamolon; FROM ORIGINAL CATALOG BOOK: Moctezuma River, at ford south of Tampamolon, Mexico",A. A. Hinkley,,8,in collection,Pachycheilus {Pachycheilus moctezumensis},,,topotype,,
CHAS:Inv:25139,[CHAS:Mamm]2921,Pachycheilus monachws,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Coy River, 3 miles south of Los Palmas","FROM SPECIMEN: Coy River, 3 miles S. of Los Palmas; FROM ORIGINAL CATALOG BOOK: Coy River, 3 mi. south of Los Palmas, Mex. [Mexico]",A. A. Hinkley,,13,in collection,,,,topotype,,
CHAS:Inv:25140,[CHAS:Mamm]2921,Pachycheilus monachws,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Coy River,3 miles south of Los Palmas, mouth of cave","FROM SPECIMEN: Coy River, at mouth of Cave, three miles south of Los Palmas; FROM ORIGINAL CATALOG BOOK: Coy River, at mouth of cave, 3 mi. south of of Los Palmas, Mex. [Mexico]",A. A. Hinkley,,50,in collection,,,,,,seven extra specimens found- none of them are numbered. They are in a separate box just incase we can figure out where they really belong
CHAS:Inv:25122,[CHAS:Mamm]2921,Pachycheilus pila,Gastropod.,1908-9,1908-01-01,1909-12-31,"North America, Mexico, San Luis Potosi","Tamasopo River, below natural bridge","FROM SPECIMEN: Tomosopo River,below natural bridge; FROM ORIGINAL CATALOG BOOK: Tamosopo River, below Natural Bridge, Mexico",A. A. Hinkley,,35,in collection,,,,topotype,,
CHAS:Inv:25125,[CHAS:Mamm]2921,Pachychilus pila pilula,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Tamasopo River, rill on mountain above banana plantation","FROM SPECIMEN: Rill on mountain, above Banana plantation, Tamosopo River; FROM ORIGINAL CATALOG BOOK: Rill on mountain above banana plantation, Tamosopo River, Mex. [Mexico]",A. A. Hinkley,,19,in collection,,,,topotype,,
CHAS:Inv:25149,[CHAS:Mamm]2921,Pachycheilus pleurotoma,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Moctezuma River, first rill on road to","FROM SPECIMEN: First Rill on road to Moctezuma River; FROM ORIGINAL CATALOG BOOK: First rill on road to Moctezuma River, Mexico",A. A. Hinkley,,27,in collection,,,,topotype,,
CHAS:Inv:25130,[CHAS:Mamm]2921,Pachychilus sp.,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Ganina River, 3 miles southwest of San Dieguito","FROM SPECIMEN: Ganina River, 3 miles South west of San Dieguito; FROM ORIGINAL CATALOG BOOK: Ganina River, 3 miles SW. of San Dieguito, Mexico",A. A. Hinkley,,24,in collection,Pachycheilus {Pachycheilus pleuristratus longus},,,topotype,,
CHAS:Inv:25131,[CHAS:Mamm]2921,Pachychilus sp.,Gastropod.,1908-1909,1908-01-01,1909-12-31,"North America, Mexico, San Luis Potosi","Tamasopo Sugar Company, small stream north of hill","FROM SPECIMEN: Small Stream north of Hill of Tamosopo Sugar Co. [Company]; FROM ORIGINAL CATALOG BOOK: Small stream north of mill of Tamosopo Sugar Co., Mexico",A. A. Hinkley,,11,in collection,Pachycheilus {Pachycheilus pleuritratus tamosopensis},,,topotype,,
CHAS:Inv:25147,[CHAS:Mamm]2921,Pachycheilus suturalis,Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, San Luis Potosi","Tamapmolon, nearby creek","FROM SPECIMEN: Creek Near Tampamolon; FROM ORIGINAL CATALOG BOOK: Creek near Tampamolon, Mexico",A. A. Hinkley,,7,in collection,,,,topotype,,
